source,target,src_lang,tgt_lng
tonal audibility,音调可听度,en,zh
wind speed at 10m height,10m高度的风速,en,zh
actuator,加载器,en,zh
blade root,叶根,en,zh
blade subsystem,叶片子系统,en,zh
buckling,屈曲,en,zh
chord,弦长,en,zh
constant amplitude loading,等幅加载,en,zh
creep,蠕变,en,zh
design loads,设计载荷,en,zh
edgewise,弦摆振方向,en,zh
elastic axis,弹性轴,en,zh
fatigue formulation,疲劳公式,en,zh
fatigue test,疲劳试验,en,zh
fixture,固定装置,en,zh
flapwise,挥舞方向,en,zh
flatwise,弦挥舞方向,en,zh
full-scale test,全尺寸试验,en,zh
inboard,内侧,en,zh
lead-lag,摆振方向,en,zh
load envelope,载荷包络,en,zh
natural frequency-eigen frequency,固有频率,en,zh
partial safety factors,局部安全系数,en,zh
prebend,预弯,en,zh
R-value,载荷比,en,zh
S-N formulation,S-N公式,en,zh
spanwise,展向,en,zh
static test,静力试验,en,zh
stiffness,刚度,en,zh
strain,应变,en,zh
sweep,扫掠,en,zh
tare loads,自重载荷,en,zh
target load,目标载荷,en,zh
test load,试验载荷,en,zh
tested area,测试区域,en,zh
twist,扭转,en,zh
variable amplitude loading,变幅加载,en,zh
whiffle tree,分配梁,en,zh
alarm,报警,en,zh
characteristic values,特征值,en,zh
command,命令,en,zh
communication function,通信功能,en,zh
control,控制,en,zh
counting value,计数值,en,zh
data retrieval,数据获取,en,zh
diagnostics,诊断,en,zh
electrical system,电气系统,en,zh
event,事件,en,zh
intelligent electronic device (IED),智能电子设备,en,zh
information,信息,en,zh
information exchange,信息交换,en,zh
information model,信息模型,en,zh
log,日志,en,zh
logging,记录,en,zh
logical device,逻辑设备,en,zh
management function,管理功能,en,zh
measured data,测量数据,en,zh
meteorological system,气象系统,en,zh
monitoring,监视,en,zh
operational function,运行功能,en,zh
optional,可选,en,zh
parameter,参数,en,zh
processed data,过程数据,en,zh
profile,规约,en,zh
protocol stack,协议栈,en,zh
report,报表,en,zh
reporting,报告,en,zh
supervisory control and data acquisition (SCADA),数据采集与监控系统,en,zh
status,状态,en,zh
statistical information,统计信息,en,zh
timing data,时间数据,en,zh
synchronization,时间同步,en,zh
three phase data,三相数据,en,zh
transient log,暂态日志,en,zh
user/access management,用户/访问管理,en,zh
wind power plant,风电场,en,zh
wind power plant analogue information,风电场模拟量信息,en,zh
wind power plant component,风电场部件,en,zh
wind power plant management system,风电场管理系统,en,zh
wind turbine,风力发电机组,en,zh
logical node class,逻辑节点类,en,zh
common data class (CDC),公用数据类,en,zh
data object,数据对象,en,zh
data attribute,数据属性,en,zh
functional constraint (FC),功能约束,en,zh
trigger options (TrgOp),触发选项,en,zh
setpoint value (SPV),设定值,en,zh
status value (STV),状态值,en,zh
alarm (ALM),报警,en,zh
command (CMD),命令,en,zh
event count (CTE),事件计数,en,zh
status timing (TMS),状态时序,en,zh
alarm setting status (AST),报警设置状态,en,zh
function,功能,en,zh
factory acceptance test (FAT),工厂验收测试,en,zh
hold point,控制点,en,zh
interoperability,互操作性,en,zh
model implementation conformance statement (MICS),模型实现一致性陈述,en,zh
negative test,否定测试,en,zh
protocol implementation compliance statement (PICS),协议实现一致性陈述,en,zh
protocol implementation extra information for testing (PIXIT),用于测试的协议实现额外信息,en,zh
routine test,常规测试,en,zh
site acceptance test (SAT),现场验收测试,en,zh
system test,系统测试,en,zh
system related test,系统相关测试,en,zh
test equipment,测试设备,en,zh
test facility,测试机构,en,zh
technical issues compliance statement (TICS),技术问题一致性陈述,en,zh
type test,型式试验,en,zh
witness point,见证点,en,zh
air-termination system,接闪器系统,en,zh
average steepness of the front of short stroke current,短雷击电流前波的平均陡度,en,zh
bonding bar,等电位连接带,en,zh
collection area,等效截收面积,en,zh
connecting leader,连接先导,en,zh
conventional earthing impedance,冲击接地阻抗,en,zh
coordinated SPD protection,协调配合的SPD系统,en,zh
down-conductor system,雷电引下线,en,zh
downward flash,下行雷击,en,zh
earth electrode,接地极,en,zh
earth-termination system,接地系统,en,zh
effective height,有效高度,en,zh
external lightning protection system,外部雷电防护系统,en,zh
flash charge,雷击电荷,en,zh
foundation earth electrode,基础接地极,en,zh
ground flash density,地闪密度,en,zh
internal lightning protection system,内部雷电防护系统,en,zh
interception efficiency,拦截效率,en,zh
leader connection point,先导连接点,en,zh
LEMP protection measures system (LPMS),LEMP防护措施系统,en,zh
lightning current,雷电流,en,zh
lightning electromagnetic impulse (LEMP),雷电电磁脉冲,en,zh
lightning equipotential bonding,雷电等电位连接,en,zh
lightning flash to a structure,雷电对建(构)筑物的雷击,en,zh
lightning flash to earth,雷电对地闪击,en,zh
lightning protection level (LPL),雷电防护等级,en,zh
lightning protection system (LPS),雷电防护系统,en,zh
lightning protection zone (LPZ),雷电防护区,en,zh
lightning stroke,雷击,en,zh
long stroke,长雷击,en,zh
magnetic shield,磁屏蔽,en,zh
metal installations,金属设备,en,zh
multiple strokes,多重雷击,en,zh
natural component of LPS,LPS的自然部件,en,zh
number of dangerous events due to flashes to a structure,因为建(构)筑物受雷击而出现的危险事件次数,en,zh
peak value,峰值,en,zh
point of strike,雷击点,en,zh
receptor,接闪器,en,zh
risk,风险,en,zh
separation distance,间隙距离,en,zh
service line,引入线,en,zh
short stroke,短雷击,en,zh
SPD tested with Iimp,使用Iimp试验的SPD,en,zh
SPD tested with In,使用In试验的SPD,en,zh
specific energy,单位能量,en,zh
surge,电涌,en,zh
surge protective device (SPD),电涌保护器,en,zh
thunderstorm days,雷暴日,en,zh
tolerable risk,允许风险,en,zh
upward flash,上行雷击,en,zh
voltage protection level,电压保护水平,en,zh
available aerodynamic power,可用气动功率,en,zh
generic model,通用模型,en,zh
integration time step,积分时间步长,en,zh
negative (sequence) component,负序分量(三相系统),en,zh
nominal frequency,额定频率,en,zh
nominal voltage,额定电压,en,zh
phasor (complex rms value),相量(复数有效值),en,zh
point of connection,连接点,en,zh
positive (sequence) component,正序分量(三相系统),en,zh
power system stability,电力系统稳定,en,zh
quasi steady state of a system,系统的准稳态,en,zh
short-circuit power,短路容量,en,zh
short-circuit ratio,短路比,en,zh
steady state of a system,系统的稳态,en,zh
system state variables,系统状态变量,en,zh
transient time period,暂态区间,en,zh
under voltage ride through (UVRT),低电压穿越,en,zh
zero (sequence) component,零序分量(三相系统),en,zh
anchor,锚,en,zh
catenary mooring,悬链式系泊,en,zh
recognized classification society,公认船级社,en,zh
redundancy check,冗余检查,en,zh
scantling,结构尺寸,en,zh
taut-line mooring,张紧式系泊,en,zh
tendon,张力键,en,zh
accreditation,认可,en,zh
applicant,申请人,en,zh
certificate holder,证书持有人,en,zh
certification,认证,en,zh
certification system,认证体系,en,zh
conformity statement,符合性声明,en,zh
evaluation for conformity,符合性评估,en,zh
final evaluation report,最终评估报告,en,zh
inspection,检查,en,zh
manufacture,制造,en,zh
modification,变更,en,zh
operating body,执行机构,en,zh
project certificate,项目认证证书,en,zh
project certification,项目认证,en,zh
rotor nacelle assembly (RNA),风轮机舱组件,en,zh
repair,修复,en,zh
replacement,更换,en,zh
surveillance,监督,en,zh
type certificate,型式认证证书,en,zh
type certification,型式认证,en,zh
type testing,型式测试,en,zh
wind turbine type,风力发电机组型号,en,zh
actual service,实际出力,en,zh
balance of plant (BOP),风力发电场配套设施,en,zh
constrained potential service,受限潜在出力,en,zh
grid,电网,en,zh
intended function,设计功能,en,zh
lost service,服务损失,en,zh
physical potential service,物理潜在出力,en,zh
potential service,潜在出力,en,zh
service,服务,en,zh
transmission system operator (TSO),输电系统运营商,en,zh
wind power station (WPS),风力发电场,en,zh
WPS maintenance provider,风力发电场维护供应商,en,zh
WPS operator,风力发电场运营商,en,zh
assessment,评估,en,zh
characteristic buckling resistance,抗力特征值,en,zh
component class,零件等级,en,zh
component temperature,零件温度,en,zh
design resistance,设计抗力,en,zh
design situation,设计状况,en,zh
dynamic stiffness for foundation,基础动刚度,en,zh
effect of actions,作用效应,en,zh
fatigue limit state,疲劳极限状态,en,zh
geometrically and materially nonlinear analysis (GMNA),几何和材料非线性分析,en,zh
geometrically and materially nonlinear analysis with imperfection included (GMNIA),包含缺陷的几何和材料非线性分析,en,zh
internal loads,内部载荷,en,zh
materially nonlinear analysis (MNA),材料非线性分析,en,zh
nominal concrete cover,标称混凝土保护层,en,zh
nominal ratio,名义比率,en,zh
nominal value,名义值,en,zh
partial safety factor for load,载荷局部安全系数,en,zh
partial safety factor for material,材料局部安全系数,en,zh
plastic limit load,塑性极限载荷,en,zh
plastic reference resistance,塑性参考抗力,en,zh
post-tensioned concrete,后张拉混凝土,en,zh
prestressed concrete,预应力混凝土,en,zh
pre-tensioned concrete,先张拉混凝土,en,zh
primary structure,主体结构,en,zh
reference standard,参考标准,en,zh
secondary structure,附属结构,en,zh
series of standard,系列标准,en,zh
signed von-Mises stress,带符号的von-Mises应力,en,zh
SLS characteristic load (S1),SLS特征载荷,en,zh
SLS 10^-4^ frequent load case (S2),SLS10-4频遇载荷工况,en,zh
SLS 10^-2^ quasi-permanent load case (S3),SLS10-2准永久载荷工况,en,zh
serviceability,可用性,en,zh
serviceability limit state,正常使用极限状态,en,zh
static stiffness for foundation,基础静刚度,en,zh
ultimate limit state,承载力极限状态,en,zh
wind turbine specification,风力发电机组规格,en,zh
harmonic,谐波,en,zh
harmonic model,谐波模型,en,zh
harmonic model terminals,谐波模型端口,en,zh
negative-sequence component of 3-phase voltages (or current),三相电压(或电流)负序分量,en,zh
planning level,规划水平,en,zh
positive-sequence component of 3-phase voltages (or current),三相电压(或电流)正序分量,en,zh
power bin,功率区间,en,zh
prevailing angle,主导相位角,en,zh
prevailing angle ratio,主导相位角比值,en,zh
short circuit power,短路容量,en,zh
short circuit ratio,短路比,en,zh
total harmonic distortion (THD),总谐波畸变率,en,zh
system operator or responsible,系统运营商或责任主体,en,zh
acceleration assessment parameter,加速度评估参数,en,zh
velocity assessment parameter,速度评估参数,en,zh
capture matrix,俘获矩阵,en,zh
rotor plane,风轮平面,en,zh
steady-state operation,稳态运行,en,zh
transient event,瞬态事件,en,zh
wind veer,风向切变,en,zh
yaw misalignment,对风偏差,en,zh
yaw position,偏航位置,en,zh
edgewise (blade cross-section),摆振方向(叶片剖面坐标系),en,zh
flatwise (blade cross-section),挥舞方向(叶片剖面坐标系),en,zh
outboard,展向,en,zh
parked wind turbine,停机的风力发电机组,en,zh
parking brake,停机制动,en,zh
catastrophic failure,严重故障,en,zh
availability,可利用率,en,zh
directivity,指向性,en,zh
atmospheric boundary layer,大气边界层,en,zh
geostrophic wind,地转风,en,zh
friction velocity,摩擦速度,en,zh
von Karman constant,冯·卡门常数,en,zh
stable stratification,稳定层结,en,zh
unstable stratification,不稳定层结,en,zh
neutral stratification,中性层结,en,zh
spectral gap,谱隙,en,zh
integral length scale,积分尺度,en,zh
Taylor's frozen turbulence hypothesis,泰勒冻结湍流假设,en,zh
return period,重现期,en,zh
wind rose,风玫瑰图,en,zh
wind atlas,风能图谱,en,zh
Measure-Correlate-Predict,测量-相关-预测法,en,zh
orographic effect,地形效应,en,zh
thermal effect,热力效应,en,zh
actuator disc,致动盘,en,zh
axial flow induction factor,轴向诱导因子,en,zh
tangential flow induction factor,切向诱导因子,en,zh
tip speed ratio,尖速比,en,zh
Betz limit,Betz极限,en,zh
blade element momentum theory,叶素动量理论,en,zh
vortex cylinder model,涡柱模型,en,zh
wake rotation,尾流旋转,en,zh
stall delay,失速延迟,en,zh
tip loss,叶尖损失,en,zh
pitch control,变桨控制,en,zh
stall regulation,失速调节,en,zh
yawed flow,偏航流动,en,zh
dynamic stall,动态失速,en,zh
airfoil,翼型/叶型,en,zh
camber,弯度,en,zh
chord line,弦线,en,zh
lift coefficient,升力系数,en,zh
drag coefficient,阻力系数,en,zh
lift/drag ratio,升阻比,en,zh
pressure coefficient,压力系数,en,zh
boundary layer,边界层,en,zh
laminar boundary layer,层流边界层,en,zh
turbulent boundary layer,湍流边界层,en,zh
separation point,分离点,en,zh
Kutta condition,库塔条件,en,zh
Kutta-Joukowski theorem,库塔-茹科夫斯基定理,en,zh
circulation,环量,en,zh
bound vortex,附着涡,en,zh
trailing vortex,尾涡,en,zh
starting vortex,起动涡,en,zh
downwash,下洗,en,zh
induced velocity,诱导速度,en,zh
vortex theory,涡旋理论,en,zh
Prandtl tip loss factor,普朗特叶尖损失因子,en,zh
root vortex,根涡,en,zh
helicoidal vortex sheet,螺旋涡面,en,zh
skew angle,偏斜角,en,zh
flow angle,流动角,en,zh
reduced frequency,折算频率,en,zh
Theodorsen function,西奥多森函数,en,zh
Wagner function,瓦格纳函数,en,zh
indicial response,阶跃响应,en,zh
CFD,计算流体动力学,en,zh
Navier-Stokes equation,纳维-斯托克斯方程,en,zh
Euler equation,欧拉方程,en,zh
Reynolds number,雷诺数,en,zh
NACA airfoil,NACA翼型,en,zh
NREL airfoil,NREL翼型,en,zh
Risø airfoil,里瑟翼型,en,zh
DU airfoil,代尔夫特理工大学翼型,en,zh
ultimate load,极限载荷,en,zh
fatigue load,疲劳载荷,en,zh
design load case,设计载荷工况,en,zh
partial safety factor,分项安全系数,en,zh
load factor,载荷系数,en,zh
material safety factor,材料安全系数,en,zh
damage equivalent load,损伤等效载荷,en,zh
rainflow counting,雨流计数法,en,zh
Miner's rule,迈纳准则,en,zh
S-N curve,S-N曲线,en,zh
Goodman diagram,古德曼图,en,zh
modal analysis,模态分析,en,zh
mode shape,振型,en,zh
natural frequency,固有频率,en,zh
damping ratio,阻尼比,en,zh
logarithmic decrement,对数衰减率,en,zh
aerodynamic damping,气动阻尼,en,zh
structural damping,结构阻尼,en,zh
centrifugal stiffening,离心刚化,en,zh
Campbell diagram,坎贝尔图,en,zh
aeroelastic stability,气动弹性稳定性,en,zh
flutter,颤振,en,zh
vortex-induced vibration,涡激振动,en,zh
critical buckling stress,临界屈曲应力,en,zh
finite element analysis,有限元分析,en,zh
composite material,复合材料,en,zh
GFRP,玻璃纤维增强塑料,en,zh
CFRP,碳纤维增强塑料,en,zh
laminate,层合板,en,zh
sandwich construction,夹层结构,en,zh
shear web,抗剪腹板,en,zh
spar,翼梁/主梁,en,zh
rotor diameter,风轮直径,en,zh
specific power,比功率,en,zh
solidity,实度,en,zh
tower clearance,塔架间隙,en,zh
overhang,悬垂距离,en,zh
shaft tilt,主轴倾角,en,zh
cone angle,锥角,en,zh
teeter hinge,跷跷板铰链,en,zh
delta-3 coupling,Delta-3耦合,en,zh
gearbox ratio,齿轮箱速比,en,zh
epicyclic gear,行星齿轮,en,zh
parallel shaft gear,平行轴齿轮,en,zh
quill shaft,空心传动轴,en,zh
slip ring,集电环,en,zh
brushless doubly-fed generator,无刷双馈发电机,en,zh
permanent magnet generator,永磁发电机,en,zh
direct drive,直驱,en,zh
power converter,功率变流器,en,zh
IGBT,绝缘栅双极型晶体管,en,zh
PWM,脉宽调制,en,zh
crowbar circuit,撬棒电路,en,zh
brake disc,制动盘,en,zh
brake caliper,制动卡钳,en,zh
fail-safe brake,失效安全制动器,en,zh
tubular tower,管式塔架,en,zh
lattice tower,格构式塔架,en,zh
slab foundation,筏板基础,en,zh
pile foundation,桩基础,en,zh
main bearing,主轴轴承,en,zh
bedplate,机舱底座,en,zh
spinner,导流罩,en,zh
supervisory control,监督控制,en,zh
closed-loop control,闭环控制,en,zh
PI controller,比例积分控制器,en,zh
PID controller,比例积分微分控制器,en,zh
gain scheduling,增益调度,en,zh
integrator wind-up,积分饱和,en,zh
anti-windup,抗积分饱和,en,zh
notch filter,陷波滤波器,en,zh
Kalman filter,卡尔曼滤波器,en,zh
LQG controller,LQG控制器,en,zh
state-space model,状态空间模型,en,zh
transfer function,传递函数,en,zh
root locus,根轨迹,en,zh
phase margin,相位裕度,en,zh
gain margin,增益裕度,en,zh
safety system,安全系统,en,zh
condition monitoring,状态监测,en,zh
vibration monitoring,振动监测,en,zh
oil debris monitoring,油液磨粒监测,en,zh
HAWT,水平轴风力机,en,zh
VAWT,垂直轴风力机,en,zh
upwind turbine,上风向风力机,en,zh
downwind turbine,下风向风力机,en,zh
stall-regulated turbine,失速调节型风力机,en,zh
pitch-regulated turbine,变桨调节型风力机,en,zh
active stall turbine,主动失速型风力机,en,zh
fixed-speed turbine,定速风力机,en,zh
variable-speed turbine,变速风力机,en,zh
two-speed turbine,双速风力机,en,zh
DFIG wind turbine,双馈风力发电机组,en,zh
full converter wind turbine,全功率变流风力发电机组,en,zh
direct-drive wind turbine,直驱风力发电机组,en,zh
Pierson-Moskowitz spectrum,皮尔森-莫斯科维茨谱,en,zh
JONSWAP spectrum,JONSWAP谱,en,zh
peak spectral period,谱峰周期,en,zh
mean zero-crossing period,平均跨零周期,en,zh
wave scatter diagram,波浪散布图,en,zh
environmental contour,环境等值线,en,zh
IFORM,逆一次可靠度方法,en,zh
monopile,单桩基础,en,zh
jacket structure,导管架结构,en,zh
tripod structure,三脚架结构,en,zh
tripile structure,三桩结构,en,zh
gravity base,重力式基础,en,zh
suction bucket,吸力筒基础,en,zh
transition piece,过渡段,en,zh
grouted joint,灌浆连接,en,zh
scour protection,防冲刷保护,en,zh
cathodic protection,阴极保护,en,zh
Airy wave theory,艾里波理论,en,zh
Stokes wave theory,斯托克斯波理论,en,zh
Dean's stream function theory,迪恩流函数理论,en,zh
Morison equation,莫里森方程,en,zh
diffraction theory,绕射理论,en,zh
Keulegan-Carpenter number,克-卡数,en,zh
Wheeler stretching,惠勒拉伸,en,zh
constrained wave,约束波,en,zh
wave breaking,波浪破碎,en,zh
plunging breaker,卷破波,en,zh
spilling breaker,溢破波,en,zh
surging breaker,涌破波,en,zh
curling factor,卷曲因子,en,zh
array cable,阵列海缆,en,zh
export cable,送出海缆,en,zh
offshore substation,海上升压站,en,zh
HVDC transmission,高压直流输电,en,zh
VSC-HVDC,电压源换流器高压直流输电,en,zh
CSC-HVDC,电网换相高压直流输电,en,zh
XLPE cable,交联聚乙烯电缆,en,zh
crew transfer vessel,运维人员交通船,en,zh
wind farm layout,风电场布局,en,zh
array efficiency,阵列效率,en,zh
wake loss,尾流损失,en,zh
micrositing,微观选址,en,zh
Environmental Impact Assessment,环境影响评价,en,zh
Environmental Statement,环境声明,en,zh
Zone of Theoretical Visibility,理论可视区,en,zh
photomontage,照片蒙太奇,en,zh
shadow flicker,阴影闪烁,en,zh
noise contour,噪声等值线,en,zh
sound power level,声功率级,en,zh
A-weighting,A计权,en,zh
electromagnetic interference,电磁干扰,en,zh
radar cross section,雷达散射截面,en,zh
backscattering,后向散射,en,zh
forward scattering,前向散射,en,zh
Fresnel zone,菲涅尔区,en,zh
avian impact,鸟类影响,en,zh
Grid Code,并网规范,en,zh
fault ride through,故障穿越,en,zh
low voltage ride through,低电压穿越,en,zh
active power control,有功功率控制,en,zh
reactive power control,无功功率控制,en,zh
frequency response,频率响应,en,zh
voltage flicker,电压闪变,en,zh
harmonics,谐波,en,zh
power quality,电能质量,en,zh
point of common coupling,公共连接点,en,zh
short-circuit level,短路容量,en,zh
islanding,孤岛运行,en,zh
loss of mains protection,防孤岛保护,en,zh
rate of change of frequency relay,频率变化率继电器,en,zh
vector shift relay,矢量偏移继电器,en,zh
earthing,接地,en,zh
lightning protection,防雷保护,en,zh
capacity credit,容量可信度,en,zh
Loss of Load Probability,失负荷概率,en,zh
spinning reserve,旋转备用,en,zh
tower shadow,塔影效应,en,zh
gust slicing,切阵风效应,en,zh
variable speed operation,变速运行,en,zh
full power converter,全功率变流器,en,zh
teetering rotor,跷跷板式转子,en,zh
individual pitch control,独立变桨控制,en,zh
edgewise vibration,摆振,en,zh
negative damping,负阻尼,en,zh
root loss,叶根损失,en,zh
wake mixing,尾流混合,en,zh
co-directional,同向,en,zh
multi-directional,多方向,en,zh
uni-directional,单向,en,zh
